"","Title","Genre","Revenue (Millions)","Rating"
"304","Alice Through the Looking Glass","Adventure",77.04,6.2
"305","Vincent N Roxxy","Crime",NA,5.5
"306","The Fast and the Furious: Tokyo Drift","Action",62.49,6
"307","How to Be Single","Comedy",46.81,6.1
"308","The Blind Side","Other",255.95,7.7
"309","La vie d'Adèle","Other",2.2,7.8
"310","The Babadook","Other",0.92,6.8
"311","The Hobbit: The Battle of the Five Armies","Adventure",255.11,7.4
"312","Harry Potter and the Order of the Phoenix","Adventure",292,7.5
"313","Snowpiercer","Action",4.56,7
"314","The 5th Wave","Action",34.91,5.2
"315","The Stakelander","Action",NA,5.3
"316","The Visit","Comedy",65.07,6.2
"317","Fast Five","Action",209.81,7.3
"318","Step Up","Crime",65.27,6.5
"319","Lovesong","Other",0.01,6.4
"320","RocknRolla","Action",5.69,7.3
"321","In Time","Action",37.55,6.7
"322","The Social Network","Other",96.92,7.7
"323","The Last Witch Hunter","Action",27.36,6
"324","Victor Frankenstein","Other",5.77,6
"325","A Street Cat Named Bob","Other",0.04,7.4
"326","Green Room","Crime",3.22,7
"327","Blackhat","Crime",7.1,5.4
"328","Storks","Animation",72.66,6.9
"329","American Sniper","Action",350.12,7.3
"330","Dallas Buyers Club","Other",27.3,8
"331","Lincoln","Other",182.2,7.4
"332","Rush","Action",26.9,8.1
"333","Before I Wake","Other",NA,6.1
"334","Silver Linings Playbook","Comedy",132.09,7.8
"335","Tracktown","Other",NA,5.9
"336","The Fault in Our Stars","Other",124.87,7.8
"337","Blended","Comedy",46.28,6.5
"338","Fast & Furious","Action",155.02,6.6
"339","Looper","Action",66.47,7.4
"340","White House Down","Action",73.1,6.4
"341","Pete's Dragon","Adventure",76.2,6.8
"342","Spider-Man 3","Action",336.53,6.2
"343","The Three Musketeers","Action",20.32,5.8
"344","Stardust","Adventure",38.35,7.7
"345","American Hustle","Crime",150.12,7.3
"346","Jennifer's Body","Comedy",16.2,5.1
"347","Midnight in Paris","Comedy",56.82,7.7
"348","Lady Macbeth","Other",NA,7.3
"349","Joy","Other",56.44,6.6
"350","The Dressmaker","Comedy",2.02,7.1
"351","Café Society","Comedy",11.08,6.7
"352","Insurgent","Adventure",130,6.3
"353","Seventh Son","Action",17.18,5.5
"354","Demain tout commence","Comedy",NA,7.4
"355","The Theory of Everything","Other",35.89,7.7
"356","This Is the End","Comedy",101.47,6.6
"357","About Time","Comedy",15.29,7.8
"358","Step Brothers","Comedy",100.47,6.9
"359","Clown","Horror",0.05,5.7
"360","Star Trek Into Darkness","Action",228.76,7.8
"361","Zombieland","Adventure",75.59,7.7
"362","Hail, Caesar!","Comedy",30,6.3
"363","Slumdog Millionaire","Other",141.32,8
"364","The Twilight Saga: Breaking Dawn - Part 2","Adventure",292.3,5.5
"365","American Wrestler: The Wizard","Other",NA,6.9
"366","The Amazing Spider-Man","Action",262.03,7
"367","Ben-Hur","Action",26.38,5.7
"368","Sleight","Action",3.85,6
"369","The Maze Runner","Action",102.41,6.8
"370","Criminal","Action",14.27,6.3
"371","Wanted","Action",134.57,6.7
"372","Florence Foster Jenkins","Other",27.37,6.9
"373","Collide","Action",2.2,5.7
"374","Black Mass","Other",62.56,6.9
"375","Creed","Other",109.71,7.6
"376","Swiss Army Man","Adventure",4.21,7.1
"377","The Expendables 3","Action",39.29,6.1
"378","What We Do in the Shadows","Comedy",3.33,7.6
"379","Southpaw","Other",52.42,7.4
"380","Hush","Horror",NA,6.6
"381","Bridge of Spies","Other",72.31,7.6
"382","The Lego Movie","Animation",257.76,7.8
"383","Everest","Action",43.25,7.1
"384","Pixels","Action",78.75,5.6
"385","Robin Hood","Action",105.22,6.7
"386","The Wolverine","Action",132.55,6.7
"387","John Carter","Action",73.06,6.6
"388","Keanu","Action",20.57,6.3
"389","The Gunman","Action",10.64,5.8
"390","Steve Jobs","Other",17.75,7.2
"391","Whisky Galore","Comedy",NA,5
"392","Grown Ups 2","Comedy",133.67,5.4
"393","The Age of Adaline","Other",42.48,7.2
"394","The Incredible Hulk","Action",134.52,6.8
"395","Couples Retreat","Comedy",109.18,5.5
"396","Absolutely Anything","Comedy",NA,6
"397","Magic Mike","Comedy",113.71,6.1
"398","Minions","Animation",336.03,6.4
"399","The Black Room","Horror",NA,3.9
"400","Bronson","Action",0.1,7.1
"401","Despicable Me","Animation",251.5,7.7
"402","The Best of Me","Other",26.76,6.7
"403","The Invitation","Other",0.23,6.7
"404","Zero Dark Thirty","Other",95.72,7.4
"405","Tangled","Animation",200.81,7.8
"406","The Hunger Games: Mockingjay - Part 2","Action",281.67,6.6
"407","Vacation","Adventure",58.88,6.1
"408","Taken","Action",145,7.8
"409","Pitch Perfect 2","Comedy",183.44,6.5
"410","Monsters University","Animation",268.49,7.3
"411","Elle","Crime",NA,7.2
"412","Mechanic: Resurrection","Action",21.2,5.6
"413","Tusk","Comedy",1.82,5.4
"414","The Headhunter's Calling","Other",NA,6.9
"415","Atonement","Other",50.92,7.8
"416","Harry Potter and the Deathly Hallows: Part 1","Adventure",294.98,7.7
"417","Shame","Other",4,7.2
"418","Hanna","Action",40.25,6.8
"419","The Babysitters","Other",0.04,5.7
"420","Pride and Prejudice and Zombies","Action",10.91,5.8
"421","300: Rise of an Empire","Action",106.37,6.2
"422","London Has Fallen","Action",62.4,5.9
"423","The Curious Case of Benjamin Button","Other",127.49,7.8
"424","Sin City: A Dame to Kill For","Action",13.75,6.5
"425","The Bourne Ultimatum","Action",227.14,8.1
"426","Srpski film","Horror",NA,5.2
"427","The Purge: Election Year","Action",79,6
"428","3 Idiots","Comedy",6.52,8.4
"429","Zoolander 2","Comedy",28.84,4.7
"430","World War Z","Action",202.35,7
"431","Mission: Impossible - Ghost Protocol","Action",209.36,7.4
"432","Let Me Make You a Martyr","Action",NA,6.4
"433","Filth","Comedy",0.03,7.1
"434","The Longest Ride","Other",37.43,7.1
"435","The imposible","Other",19,7.6
"436","Kick-Ass 2","Action",28.75,6.6
"437","Folk Hero & Funny Guy","Comedy",NA,5.6
"438","Oz the Great and Powerful","Adventure",234.9,6.3
"439","Brooklyn","Other",38.32,7.5
"440","Coraline","Animation",75.28,7.7
"441","Blue Valentine","Other",9.7,7.4
"442","The Thinning","Other",NA,6
"443","Silent Hill","Adventure",46.98,6.6
"444","Dredd","Action",13.4,7.1
"445","Hunt for the Wilderpeople","Adventure",5.2,7.9
"446","Big Hero 6","Animation",222.49,7.8
"447","Carrie","Other",35.27,5.9
"448","Iron Man 2","Action",312.06,7
"449","Demolition","Comedy",1.82,7
"450","Pandorum","Action",10.33,6.8
"451","Olympus Has Fallen","Action",98.9,6.5
"452","I Am Number Four","Action",55.09,6.1
"453","Jagten","Other",0.61,8.3
"454","The Proposal","Comedy",163.95,6.7
"455","Get Hard","Comedy",90.35,6
"456","Just Go with It","Comedy",103.03,6.4
"457","Revolutionary Road","Other",22.88,7.3
"458","The Town","Crime",92.17,7.6
"459","The Boy","Horror",35.79,6
"460","Denial","Other",4.07,6.6
